metric_id,candidate_email,job_code,application_date,screening_date,technical_interview_date,final_interview_date,offer_date,hiring_decision,time_to_screen_hours,automated_screening_time_seconds,manual_screening_estimated_minutes,recruiter_name,sourcing_channel,cost_per_applicant_eur
met-001,antoine.dupont@email.com,JOB-DE-001,2024-01-10,2024-01-11,2024-01-18,2024-01-25,2024-01-30,hired,12.5,2.3,45.0,Sarah Martin,LinkedIn,80.00
met-002,antoine.dupont@email.com,JOB-FS-004,2024-02-01,2024-02-02,,,,rejected,8.0,2.1,45.0,Sarah Martin,LinkedIn,80.00
met-003,camille.bernard@email.com,JOB-DA-003,2024-01-15,2024-01-16,2024-01-22,2024-01-29,2024-02-05,hired,14.0,2.5,45.0,Julien Delacroix,Referral,0.00
met-004,camille.bernard@email.com,JOB-DE-001,2024-02-05,2024-02-06,,,,rejected,4.5,2.0,45.0,Sarah Martin,Direct Application,25.00
met-005,marc.lefevre@email.com,JOB-MLE-002,2024-01-08,2024-01-09,2024-01-15,2024-01-22,2024-01-28,hired,9.0,2.8,45.0,Sarah Martin,Agency,1500.00
met-006,marc.lefevre@email.com,JOB-DE-001,2024-02-12,2024-02-13,2024-02-20,2024-02-27,2024-03-02,offered,10.0,2.6,45.0,Sarah Martin,LinkedIn,80.00
met-007,sophie.moreau@email.com,JOB-FS-004,2024-01-12,2024-01-13,2024-01-19,2024-01-26,2024-02-02,hired,11.0,2.2,45.0,Julien Delacroix,LinkedIn,80.00
met-008,sophie.moreau@email.com,JOB-DA-003,2024-02-15,2024-02-16,,,,screened,15.0,2.4,45.0,Julien Delacroix,Direct Application,25.00
met-009,lucas.petit@email.com,JOB-DE-001,2024-01-20,2024-01-21,2024-01-28,,,interviewed,16.0,2.4,45.0,Sarah Martin,Direct Application,25.00
met-010,lucas.petit@email.com,JOB-FS-004,2024-02-10,2024-02-11,,,,screened,18.0,2.2,45.0,Julien Delacroix,LinkedIn,80.00
met-011,elodie.roux@email.com,JOB-DA-003,2024-01-25,2024-01-26,2024-02-02,2024-02-09,2024-02-14,offered,13.0,2.6,45.0,Julien Delacroix,Referral,0.00
met-012,elodie.roux@email.com,JOB-DE-001,2024-02-18,2024-02-19,2024-02-26,,,interviewed,14.0,2.5,45.0,Sarah Martin,LinkedIn,80.00
met-013,thomas.garnier@email.com,JOB-FS-004,2024-02-02,2024-02-03,2024-02-10,,,interviewed,20.0,2.1,45.0,Julien Delacroix,Direct Application,25.00
met-014,thomas.garnier@email.com,JOB-DE-001,2024-02-20,2024-02-21,,,,rejected,6.0,2.0,45.0,Sarah Martin,Direct Application,25.00
met-015,claire.faure@email.com,JOB-DA-003,2024-01-18,2024-01-19,2024-01-27,,,interviewed,12.0,2.4,45.0,Julien Delacroix,LinkedIn,80.00
met-016,claire.faure@email.com,JOB-MLE-002,2024-02-22,2024-02-23,,,,rejected,5.0,2.1,45.0,Sarah Martin,LinkedIn,80.00
met-017,julien.mercier@email.com,JOB-MLE-002,2024-01-22,2024-01-23,2024-01-30,,,interviewed,14.0,2.7,45.0,Sarah Martin,Referral,0.00
met-018,julien.mercier@email.com,JOB-DA-003,2024-02-14,2024-02-15,,,,screened,16.0,2.5,45.0,Julien Delacroix,Direct Application,25.00
met-019,nathalie.guerin@email.com,JOB-FS-004,2024-02-08,2024-02-09,,,,screened,22.0,2.2,45.0,Julien Delacroix,Agency,1500.00
met-020,nathalie.guerin@email.com,JOB-DE-001,2024-02-25,2024-02-26,,,,rejected,7.0,2.0,45.0,Sarah Martin,Direct Application,25.00
met-021,antoine.dupont@email.com,JOB-MLE-002,2024-03-01,2024-03-02,,,,screened,10.5,2.4,45.0,Sarah Martin,LinkedIn,80.00
met-022,camille.bernard@email.com,JOB-FS-004,2024-03-03,2024-03-04,,,,rejected,5.5,2.1,45.0,Julien Delacroix,Direct Application,25.00
met-023,marc.lefevre@email.com,JOB-FS-004,2024-03-05,2024-03-06,,,,screened,8.5,2.3,45.0,Julien Delacroix,Direct Application,25.00
met-024,sophie.moreau@email.com,JOB-DE-001,2024-03-08,2024-03-09,,,,screened,11.5,2.4,45.0,Sarah Martin,LinkedIn,80.00
met-025,lucas.petit@email.com,JOB-MLE-002,2024-03-10,2024-03-11,,,,rejected,6.0,2.2,45.0,Sarah Martin,Direct Application,25.00
met-026,elodie.roux@email.com,JOB-FS-004,2024-03-12,2024-03-13,,,,rejected,7.5,2.2,45.0,Julien Delacroix,LinkedIn,80.00
met-027,thomas.garnier@email.com,JOB-DA-003,2024-03-14,2024-03-15,,,,screened,9.0,2.3,45.0,Julien Delacroix,Direct Application,25.00
